@RELATION Quake_new

@ATTRIBUTE latitude REAL
@ATTRIBUTE longitude REAL
@ATTRIBUTE combustibleelement REAL
@ATTRIBUTE densityofpopulation REAL
@ATTRIBUTE distancefromrecentquakezone REAL
@ATTRIBUTE soiltype REAL
@ATTRIBUTE magnitude REAL

@DATA

34.0836,74.7973,32.5,1.57,113,1,7.6
34.0836,74.7973,30.5,1.49,113,1,7.2
34.0836,74.7973,29,1.53,113,1,6.6
34.0836,74.7973,33.7,1.51,113,1,5.7
34.0836,74.7973,28.5,1.5,113,1,3.6
26.1445,91.7362,0.038,2.05,205,2,8
26.1445,91.7362,0.036,2.03,205,2,7.5
26.1445,91.7362,0.032,2.01,205,2,6.5
26.1445,91.7362,0.031,2,205,2,5.4
26.1445,91.7362,0.03,2,205,2,4.5
28.7041,77.1025,12,18.6,288,1,7.6
28.7041,77.1025,10,18.4,288,1,6.4
28.7041,77.1025,9,18.5,288,1,5.6
28.7041,77.1025,8,18.3,288,1,4.6
28.7041,77.1025,7,18.2,288,1,5
22.4707,70.0577,5.2,67.6,107,3,7.7
22.4707,70.0577,4.2,67.4,107,3,4.3
22.4707,70.0577,4,67.1,107,3,5.4
22.4707,70.0577,3.8,66.6,107,3,6.7
22.4707,70.0577,3.6,66.1,107,3,4.2
25.5941,85.1376,0,2.79,310,1,7.6
25.5941,85.1376,2,2.75,310,1,4.6
25.5941,85.1376,1,2.7,310,1,3.5
25.5941,85.1376,1,2.6,310,1,5.6
25.5941,85.1376,0,2.55,310,1,6.1
28.9845,77.7064,0,2.07,224,1,6.8
28.9845,77.7064,0,2.03,224,1,3.8
28.9845,77.7064,1,2.01,224,1,4.8
28.9845,77.7064,2,1.87,224,1,6
28.9845,77.7064,2,1.79,224,1,3.9
32.7266,74.857,282.2,0.77,222,1,7.4
32.7266,74.857,272.2,0.75,222,1,6.4
32.7266,74.857,262,0.74,222,1,5.9
32.7266,74.857,242.2,0.71,222,1,4.3
32.7266,74.857,229.4,0.67,222,1,3.2
31.634,74.8723,0,2.5,333,1,7
31.634,74.8723,0,2.3,333,1,6.7
31.634,74.8723,0,2.1,333,1,3.5
31.634,74.8723,0,2,333,1,5.7
31.634,74.8723,0,1.7,333,1,4.7
31.326,75.5762,0,2.1,391,1,6.8
31.326,75.5762,0,2,391,1,5.6
31.326,75.5762,0,1.8,391,1,4.8
31.326,75.5762,0,1.5,391,1,3.5
31.326,75.5762,0,1.2,391,1,4.1
30.3165,78.0322,20,0.66,90,1,6.5
30.3165,78.0322,18,0.6,90,1,5.3
30.3165,78.0322,17,0.58,90,1,4.5
30.3165,78.0322,16,0.55,90,1,3
30.3165,78.0322,15,0.49,90,1,3.9
22.3072,73.1812,0.59,0.92,326,1,6.6
22.3072,73.1812,0.49,0.88,326,1,4.6
22.3072,73.1812,0.45,0.83,326,1,3.9
22.3072,73.1812,0.41,0.79,326,1,4
22.3072,73.1812,0.39,0.76,326,1,2.9
21.1702,72.8311,3.56,1.36,366,1,7
21.1702,72.8311,3.54,1.35,366,1,5
21.1702,72.8311,3.5,1.32,366,1,3.1
21.1702,72.8311,3.41,1.25,366,1,4.7
21.1702,72.8311,3.36,1.22,366,1,5.1
22.3039,70.8022,4.8,0.82,137,1,6.7
22.3039,70.8022,4.6,0.8,137,1,3.1
22.3039,70.8022,4.3,0.72,137,1,4.7
22.3039,70.8022,3.8,0.62,137,1,2.7
22.3039,70.8022,3.6,0.52,137,1,3.6
18.5204,73.8567,1.72,1.28,296,1,6.2
18.5204,73.8567,1.68,1.23,296,1,3.2
18.5204,73.8567,1.62,1.21,296,1,5.2
18.5204,73.8567,1.53,1.18,296,1,4.1
18.5204,73.8567,1.49,1.13,296,1,3.2
23.0225,72.5714,1.94,1.2,243,1,6.5
23.0225,72.5714,1.91,1,243,1,5.5
23.0225,72.5714,1.84,0.99,243,1,3.4
23.0225,72.5714,1.81,0.91,243,1,5
23.0225,72.5714,1.74,0.89,243,1,3.9
